ts,bid_px,ask_px,bid_sz,ask_sz
1773754204561840898,250.0,253.35,100.0,100.0
1773754204561867147,250.0,252.66,100.0,100.0
1773754204561894235,252.54,252.66,100.0,100.0
1773754204562707353,250.0,252.66,100.0,100.0
1773754204562726081,250.0,253.35,100.0,100.0
1773754204562752040,252.55,253.35,100.0,100.0
1773754204562774444,252.55,252.65,100.0,100.0
1773754204608255623,252.55,252.66,100.0,100.0
1773754204608539156,252.6,252.66,100.0,100.0
1773754204608744604,252.6,253.35,100.0,100.0
1773754204609059742,250.0,253.35,100.0,100.0
1773754204609108916,252.6,253.35,100.0,100.0
1773754204609237982,252.6,252.68,100.0,100.0
1773754204610193519,250.0,252.68,100.0,100.0
1773754204610211333,250.0,253.35,100.0,100.0
1773754204610237558,250.0,252.68,100.0,100.0
1773754204610263277,252.6,252.68,100.0,100.0
1773754204610952990,250.0,252.68,100.0,100.0
1773754204610972091,250.0,253.35,100.0,100.0
1773754204610995912,252.61,253.35,100.0,100.0
1773754204611043142,250.0,253.35,100.0,100.0
1773754204611065896,252.6,253.35,100.0,100.0
1773754204628565754,250.0,253.35,100.0,100.0
1773754204630512133,252.55,253.35,100.0,100.0
1773754204630537961,252.55,252.67,100.0,100.0
1773754204642373839,252.55,253.35,100.0,100.0
1773754204658837755,252.62,253.35,100.0,100.0
1773754204658918918,250.0,253.35,100.0,100.0
1773754204658970328,252.62,253.35,100.0,100.0
1773754204658993733,252.62,252.72,100.0,100.0
1773754204659650756,250.0,252.72,100.0,100.0
1773754204659677286,252.62,252.72,100.0,100.0
1773754204661020089,250.0,252.72,100.0,100.0
1773754204661045278,252.63,252.72,100.0,100.0
1773754204678855090,250.0,252.72,100.0,100.0
1773754204709264417,250.0,253.35,100.0,100.0
1773754204709292299,250.0,253.35,100.0,100.0
1773754204709338755,250.0,252.75,100.0,100.0
1773754204709899154,250.0,253.35,100.0,100.0
1773754204710825304,250.0,252.75,100.0,100.0
1773754204793972095,250.0,253.35,100.0,100.0
1773754204794067049,252.54,253.35,100.0,100.0
1773754204795381616,250.0,253.35,100.0,100.0
1773754204795414193,252.54,253.35,100.0,100.0
1773754204796383202,250.0,253.35,100.0,100.0
1773754204796418056,252.54,253.35,100.0,100.0
