ts,open_px,high_px,low_px,close_px,volume
1773763860000,671.09,671.195,671.09,671.19,868.0
1773763920000,671.14,671.14,670.9,670.96,3101.0
1773763980000,670.915,671.01,670.83,670.83,593.0
1773764040000,670.79,670.79,670.63,670.63,1615.0
1773764100000,670.69,670.69,670.6,670.6,441.0
1773764160000,670.69,670.82,670.69,670.82,703.0
1773764220000,670.795,671.14,670.795,671.14,1147.0
1773764280000,671.11,671.4,671.11,671.4,1346.0
1773764340000,671.32,671.54,671.16,671.54,1292.0
1773764400000,671.55,671.55,671.35,671.35,828.0
1773764460000,671.37,671.37,671.04,671.15,994.0
1773764520000,671.18,671.305,671.105,671.28,1189.0
1773764580000,671.39,671.39,671.23,671.31,328.0
1773764640000,671.39,671.51,671.39,671.51,1627.0
1773764700000,671.46,671.46,671.24,671.37,1609.0
1773764760000,671.285,671.43,671.245,671.43,509.0
1773764820000,671.41,671.41,671.04,671.04,886.0
1773764880000,671.13,671.205,671.11,671.18,987.0
1773764940000,671.15,671.295,671.15,671.295,525.0
1773765000000,671.185,671.41,671.16,671.28,802.0
1773765060000,671.24,671.24,671.0,671.085,746.0
1773765120000,671.22,671.27,671.09,671.13,680.0
1773765180000,671.14,671.25,670.86,670.86,2293.0
1773765240000,670.93,671.15,670.77,671.15,3749.0
1773765300000,671.38,671.385,671.38,671.385,326.0
1773765360000,671.23,671.23,671.02,671.02,459.0
1773765420000,671.06,671.06,670.76,670.76,1205.0
1773765480000,670.85,671.09,670.82,671.05,1214.0
1773765540000,670.965,670.97,670.83,670.83,485.0
1773765600000,671.12,671.12,670.945,670.945,626.0
1773765660000,670.91,671.04,670.82,671.04,792.0
1773765720000,670.92,670.94,670.92,670.94,437.0
1773765780000,671.1,671.35,671.1,671.18,1161.0
1773765840000,671.19,671.51,671.19,671.5,1248.0
1773765900000,671.5,671.53,671.47,671.53,879.0
1773765960000,671.57,671.58,671.48,671.52,535.0
1773766020000,671.5,671.5,671.24,671.305,8158.0
1773766080000,671.31,671.37,671.24,671.27,938.0
1773766140000,671.21,671.315,671.21,671.315,733.0
1773766200000,671.28,671.33,671.25,671.31,473.0
1773766260000,671.47,671.47,671.31,671.31,2117.0
